"filename", "language", "JSON", "Markdown", "JSON with Comments", "JavaScript", "HTML", "SCSS", "TypeScript", "vue", "XML", "comment", "blank", "total"
"e:\proyecto_renacer2024\frontend_renacer\.eslintrc.cjs", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 20, 11, 65
"e:\proyecto_renacer2024\frontend_renacer\README.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 12, 42
"e:\proyecto_renacer2024\frontend_renacer\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"e:\proyecto_renacer2024\frontend_renacer\jsconfig.json", "JSON with Comments", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"e:\proyecto_renacer2024\frontend_renacer\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"e:\proyecto_renacer2024\frontend_renacer\postcss.config.cjs", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 9, 3, 28
"e:\proyecto_renacer2024\frontend_renacer\quasar.config.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 93, 39, 201
"e:\proyecto_renacer2024\frontend_renacer\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\proyecto_renacer2024\frontend_renacer\src\assets\quasar-logo-vertical.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 15
"e:\proyecto_renacer2024\frontend_renacer\src\boot\axios.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 40, 10, 79
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearCategoria.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 18, 188
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearCliente.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 21, 271
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearCompra.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 23, 316
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearMedicamento.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 20, 241
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearMenu.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 20, 195
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearNombre.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 22, 232
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearPresentacion.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 17, 191
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearProveedor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 18, 199
"e:\proyecto_renacer2024\frontend_renacer\src\components\CrearRol.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 19, 195
